,day,t,rh,ws,wd,r,h,l1,l2,l3,l4,l5,l6,l7,lp,t2,tmv,tm,tm2,tmy,tmy2
0,2016-01-08 00:00:00,2.5975,87.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.747006250000001,2.781107768047337,8.474167,71.811506343889,5.3925,29.07905625
1,2016-01-08 01:00:00,2.121667,81.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.501470858889,2.772281342011834,8.474167,71.811506343889,5.3925,29.07905625
2,2016-01-08 02:00:00,1.225833,93.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5026665438890001,2.758188637869822,8.474167,71.811506343889,5.3925,29.07905625
3,2016-01-08 03:00:00,0.6658334,93.0,1.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44333411655556,2.742143273372781,8.474167,71.811506343889,5.3925,29.07905625
4,2016-01-08 04:00:00,0.8083333,93.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6534027238888901,2.7312606301775144,8.474167,71.811506343889,5.3925,29.07905625
5,2016-01-08 05:00:00,0.3066667,96.5,1.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09404446488889,2.7200870603550293,8.474167,71.811506343889,5.3925,29.07905625
6,2016-01-08 06:00:00,0.5708333000000001,96.5,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32585065638889,2.7144312396449704,8.474167,71.811506343889,5.3925,29.07905625
7,2016-01-08 07:00:00,0.825,100.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6806249999999999,2.7137063875739647,8.474167,71.811506343889,5.3925,29.07905625
8,2016-01-08 08:00:00,1.324167,93.0,1.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7534182438890002,2.7172172372781063,8.474167,71.811506343889,5.3925,29.07905625
9,2016-01-08 09:00:00,2.0541669999999996,93.0,1.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.219602063889,2.726393768047337,8.474167,71.811506343889,5.3925,29.07905625
10,2016-01-08 10:00:00,2.7991669999999997,90.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.835335893889001,2.7344608331360947,8.474167,71.811506343889,5.3925,29.07905625
11,2016-01-08 11:00:00,3.418333,90.0,1.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.685000498889,2.7406541230769235,8.474167,71.811506343889,5.3925,29.07905625
12,2016-01-08 12:00:00,5.355,81.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.67602500000001,2.7480456378698226,8.474167,71.811506343889,5.3925,29.07905625
13,2016-01-08 13:00:00,6.878334,71.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.311478615556,2.7561028390532547,8.474167,71.811506343889,5.3925,29.07905625
14,2016-01-08 14:00:00,8.474167,73.5,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.811506343889,2.771221182248521,8.474167,71.811506343889,5.3925,29.07905625
15,2016-01-08 15:00:00,8.126667,78.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.04271652888899,2.7769164544378704,8.474167,71.811506343889,5.3925,29.07905625
16,2016-01-08 16:00:00,7.67,78.5,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8289,2.7779174366863906,8.474167,71.811506343889,5.3925,29.07905625
17,2016-01-08 17:00:00,7.338333,81.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.85113121888901,2.7864134899408284,8.474167,71.811506343889,5.3925,29.07905625
18,2016-01-08 18:00:00,6.960833999999999,84.0,1.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.453209975556,2.8028484071005915,8.474167,71.811506343889,5.3925,29.07905625
